scaffold,start,end,mid,sites,pi_Species1,pi_Species2,dxy_Species1_Species2,Fst_Species1_Species2
1,15200001,15250000,15231421,2450,0.0496,0.1161,0.1644,0.3404
1,15250001,15300000,15274106,693,0.0031,0.1195,0.1361,0.4308
1,15300001,15350000,15325696,1194,0.0028,0.1293,0.1535,0.452
1,15350001,15400000,15379706,882,3.00E-04,0.1116,0.1837,0.59
1,15400001,15450000,15419952,1059,0.0117,0.1278,0.1485,0.4026
1,15450001,15500000,15474200,880,0.0034,0.1099,0.1454,0.4921
1,15500001,15550000,15529633,1163,6.00E-04,0.1131,0.1646,0.5437
1,15550001,15600000,15574492,2507,0.0213,0.1226,0.1818,0.4669
1,15600001,15650000,15631096,2148,0.0276,0.1089,0.1713,0.4561
1,15650001,15700000,15666973,676,3.00E-04,0.1201,0.0959,0.272
1,15700001,15750000,15724300,1886,0.0319,0.1137,0.1522,0.3747
1,15750001,15800000,15774877,4256,0.064,0.1113,0.1727,0.3292
1,15800001,15850000,15831782,2184,0.0313,0.1137,0.1624,0.4058
1,15850001,15900000,15866843,1001,0.02,0.1169,0.1826,0.4893
1,15900001,15950000,15929273,1752,0.0013,0.128,0.2142,0.5918
1,16000001,16050000,16024991,1191,0.045,0.1081,0.1504,0.3369
1,16050001,16100000,16074808,836,0,0.1255,0.1228,0.3766
1,16100001,16150000,16130156,574,0.0012,0.1245,0.1924,0.5642
1,16150001,16200000,16182428,2052,0.0429,0.1121,0.1937,0.4434
1,16250001,16300000,16275917,2739,0.0377,0.1164,0.1695,0.3937
1,16300001,16350000,16327934,724,0.0067,0.1184,0.1744,0.5211
1,16350001,16400000,16377156,1123,0.0204,0.1163,0.1393,0.3733
1,16400001,16450000,16412825,1038,0.0038,0.1328,0.1339,0.3731
1,16450001,16500000,16475573,1793,0.0564,0.1073,0.1593,0.3262
1,16500001,16550000,16523954,709,0.0047,0.108,0.1763,0.5667
1,16550001,16600000,16578569,1575,0.048,0.1195,0.1476,0.2874
1,16650001,16700000,16673028,1839,0.0574,0.1004,0.1595,0.3409
1,16750001,16800000,16771173,749,0.0388,0.1066,0.1531,0.3715
1,16800001,16850000,16828356,1742,0.0378,0.1272,0.195,0.4267
1,16850001,16900000,16879455,1078,0.0012,0.1151,0.1638,0.5325
1,16900001,16950000,16935537,2023,0.0542,0.0993,0.1573,0.3483
1,16950001,17000000,16980284,2874,0.0488,0.1023,0.1358,0.2924
1,17000001,17050000,17030011,1242,0.0126,0.1085,0.1396,0.4351
1,17050001,17100000,17071930,679,0.003,0.1195,0.1346,0.427
1,17100001,17150000,17131490,705,0.0041,0.1146,0.1176,0.3773
1,17150001,17200000,17169041,1368,0.051,0.107,0.157,0.3385
1,17200001,17250000,17221336,656,0.0308,0.1265,0.1613,0.3695
1,17250001,17300000,17278285,2308,0.0011,0.1206,0.2242,0.6277
1,17300001,17350000,17315224,632,0.0668,0.1151,0.2353,0.445
1,17350001,17400000,17382061,1104,0.0016,0.1341,0.2295,0.5987
1,17400001,17450000,17432481,1487,0.0441,0.1144,0.1899,0.4259
1,17450001,17500000,17484847,1070,0.0041,0.1405,0.2127,0.546
1,17500001,17550000,17510617,1450,0.0532,0.1105,0.1666,0.3489
1,17550001,17600000,17566350,805,0.0582,0.1097,0.2724,0.5343
1,17600001,17650000,17629314,2957,0.0217,0.1192,0.1928,0.4982
1,17650001,17700000,17672546,2849,0.0287,0.1225,0.1919,0.4622
1,17700001,17750000,17718450,1960,0.0247,0.124,0.1948,0.479
1,17750001,17800000,17772307,1465,0.0412,0.0943,0.2186,0.5382
1,17800001,17850000,17822976,737,0.0157,0.095,0.2698,0.6905
1,17850001,17900000,17873011,937,0.0023,0.1007,0.2706,0.7257
1,17900001,17950000,17933895,965,0.0024,0.113,0.2023,0.6093
1,17950001,18000000,17970435,1410,3.00E-04,0.1128,0.1899,0.5978
